国家,行政区名称,Alpha,Beta,"Corr(Y, λ)",P值,显著,事件总数
Yemen,Habban,1e-06,1e-06,-0.0032733257062968917,0.5,,2
Yemen,Bilad Ar Rus,1e-06,1e-06,-0.004918037729109072,0.5,,3
Yemen,Khwlan,1e-06,0.0653337708933959,-0.0017446678523721569,0.5,,1
Yemen,Nihm,1e-06,0.5168717654060272,-0.009664536239431098,0.5,,12
Palestine,Bandar-e-Lengeh,1e-06,0.06533374160628222,-0.0017446678009608496,0.5,,1
Yemen,Arma,1e-06,0.0653339330770231,-0.0017446681370708885,0.5,,1
Yemen,As Said,1e-06,0.5054101748515525,-0.017554277762415037,0.5,,18
Palestine,Chahbahar,1e-06,0.06533371782163432,-0.0017446677592092455,0.5,,1
Palestine,Shahrud,1e-06,0.06533390504957656,-0.001744668087870906,0.5,,1
Palestine,Khash,1e-06,1e-06,-0.004918037729109041,0.5,,3
Palestine,Iranshahr,1e-06,1e-06,-0.003273325706296866,0.5,,2
Palestine,Abadan,1e-06,0.06533390504957656,-0.001744668087870906,0.5,,1
Palestine,Razan,1e-06,0.06533390504957656,-0.001744668087870906,0.5,,1
Yemen,Hatib,1e-06,0.06533375255590909,-0.0017446678201821595,0.5,,1
Yemen,Mudiyah,1e-06,0.48898584069138323,-0.008159609526168649,0.49769558388462487,,61
Yemen,Al Malagim,1e-06,1e-06,-0.0032733257062968566,0.5,,2
Yemen,Al Quraishyah,1e-06,1e-06,-0.004918037729109054,0.5,,3
Yemen,As Sawadiyah,1e-06,1e-06,-0.0049180377291090744,0.5,,3
Yemen,Dhi Na'im,1e-06,1e-06,-0.0032733257062968857,0.5,,2
Yemen,Na'man,1e-06,0.5273713375684528,-0.004422653760653688,0.5,,9
Yemen,Radman Al Awad,1e-06,1e-06,-0.0032733257062968995,0.5,,2
Yemen,Al A'rsh,1e-06,1e-06,-0.008223692501853406,0.5,,5
Yemen,Sarar,1e-06,0.0653337653322793,-0.0017446678426096798,0.5,,1
Yemen,Ma'ain,1e-06,0.0653337708933959,-0.0017446678523721569,0.5,,1
Yemen,Shu'aub,1e-06,1e-06,-0.005860296565057885,0.5,,5
Yemen,Al Qaflah,1e-06,0.06533497827341878,-0.0017446699718214583,0.5,,1
Yemen,Al Ashah,1e-06,0.0653337799460677,-0.0017446678682631455,0.5,,1
Yemen,Habur Zulaymah,1e-06,0.06533376296568129,-0.001744667838455376,0.5,,1
Yemen,Jabal Iyal Yazid,1e-06,0.06533377193274004,-0.0017446678541963862,0.5,,1
Yemen,Khamir,1e-06,1e-06,-0.004369201548311481,0.5,,4
Yemen,Dhi Bin,1e-06,0.0653337799460677,-0.0017446678682631455,0.5,,1
Yemen,Al Hada,1e-06,0.06533497827341878,-0.0017446699718214583,0.5,,1
Yemen,Anss,1e-06,1e-06,-0.0032733257062968475,0.5,,2
Yemen,Dhamar City,1e-06,1e-06,-0.003273325706296887,0.5,,2
Yemen,Mayfa'at Anss,1e-06,0.06533376307534042,-0.0017446678386479188,0.5,,1
Yemen,Al Abr,1e-06,1e-06,-0.0058602965650578764,0.5,,5
Yemen,Ghayl Bin Yamin,1e-06,0.06533363492535312,-0.0017446676136919745,0.5,,1
Yemen,Wadi Al Ayn,1e-06,0.0653337808266303,-0.0017446678698087375,0.5,,1
Yemen,Suwayr,1e-06,1e-06,-0.0032733257062968583,0.5,,2
Yemen,Az Zaydiyah,1e-06,0.06533373609293765,-0.0017446677912825229,0.5,,1
Yemen,Wald Rabi',1e-06,1e-06,-0.0065681511104693354,0.49985903720641994,,4
Yemen,Al Ghayl,1e-06,1e-06,-0.004918037729109085,0.5,,3
Yemen,Az Zuhrah,1e-06,1e-06,-0.0032733257062968588,0.5,,2
Yemen,Al Humaydat,1e-06,0.06533376296568129,-0.001744667838455376,0.5,,1
Yemen,Al Maslub,1e-06,1e-06,-0.0032733257062968657,0.5,,2
Yemen,Al Maton,1e-06,1e-06,-0.006568151110469312,0.49888908903533336,,4
Yemen,Bura,1e-06,0.06533374182380472,-0.0017446678013429357,0.5,,1
Yemen,Kharab Al Marashi,1e-06,0.06538204351444958,-0.0017447525929897708,0.5,,1
Yemen,Al Mahwait City,1e-06,0.06533377389204584,-0.0017446678576361293,0.5,,1
Yemen,Bani Sa'd,1e-06,0.06533373078035214,-0.0017446677819570417,0.5,,1
Yemen,At Tawilah,1e-06,0.0653337650384767,-0.0017446678420939322,0.5,,1
Yemen,Milhan,1e-06,0.06533374959062334,-0.0017446678149770692,0.5,,1
Yemen,Assafi'yah,1e-06,1e-06,-0.00656815111046934,0.5,,4
Yemen,At Tahrir,1e-06,1e-06,-0.003273325706296892,0.5,,2
Yemen,Alluheyah,1e-06,0.4708771561133041,-0.002885630042256732,0.5,,13
Yemen,Hayran,1e-06,1e-06,-0.0032733257062968653,0.5,,2
Yemen,Hajjah City,1e-06,0.0653337755546307,-0.0017446678605540597,0.5,,1
Yemen,Bani Qa'is,1e-06,0.0653337708933959,-0.0017446678523721569,0.5,,1
